epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_seconds
1,0.0003,4.6611396598815915,0.1982,0.18817951546288755,3.7151706817626953,0.3372,0.3075169703121452,130.9087166749996
2,0.0003,3.105849952316284,0.4733,0.4607688198325965,3.142711813735962,0.4488,0.4351194246145448,134.07353507900007
3,0.0003,2.5336177307128906,0.6074,0.602382655790103,2.9178099716186523,0.4962,0.486389369858742,133.55238062900025
4,0.0003,2.179018436050415,0.69955,0.6972557477633695,2.8962721725463867,0.4978,0.49217935454239636,137.31850395400033
5,0.0003,1.9167642860412597,0.77805,0.7773782855994741,2.792286772155762,0.5226,0.5214928220737317,132.85127881599965
6,0.0003,1.7163023279190064,0.8383,0.8379352984074546,2.737920629501343,0.5432,0.5434653431426238,136.24551250700006
7,0.0003,1.564695261001587,0.8852,0.8850799041766311,2.798748997116089,0.5314,0.5311612482756592,136.25604486799966
8,0.0003,1.4545141082763673,0.9186,0.9186464784114801,2.719586117935181,0.5584,0.5531733921123221,130.20731751200037
9,0.0003,1.3709008823394775,0.94735,0.9473463211944599,2.6965908546447754,0.5732,0.5705036499412823,132.1243794639995
10,0.0003,1.3234343086242675,0.95815,0.9581178455276897,2.7451900615692137,0.5606,0.555502563476586,129.27712211000016
11,0.0003,1.2832334413528443,0.96925,0.9692506201841063,2.7511781562805178,0.5686,0.5678171764754362,127.84760990700033
12,8.999999999999999e-05,1.2633497085571288,0.9728,0.9728266293921274,2.7964932514190672,0.552,0.5518001853767082,127.52248458699978
