epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_seconds
1,0.0003,4.935638713073731,0.14615,0.13457416555463972,3.8947836498260497,0.2918,0.2602654395792343,223.58910654299999
2,0.0003,3.550050915145874,0.3635,0.34829051014966617,3.424476414489746,0.3732,0.35377163861743943,212.57848361799995
3,0.0003,3.0402190196990966,0.47305,0.4642790103763795,3.070797141265869,0.4536,0.4465303026156497,223.3338345279999
4,0.0003,2.73060080909729,0.5467,0.5416630370036121,2.980019396209717,0.4828,0.4750718404910464,221.78350565300002
5,0.0003,2.492708892822266,0.60865,0.6052643781518459,2.8726297399520875,0.5098,0.5025670725410376,223.18003283200005
6,0.0003,2.3223730102539064,0.65165,0.6494260729979227,2.836962810134888,0.5184,0.5121582508611946,222.72839818599982
7,0.0003,2.1890848789215087,0.69115,0.689561927048351,2.78752449760437,0.5274,0.5243180519344114,215.680971043
8,0.0003,2.0671579399108886,0.7268,0.7257596108555101,2.8314310749053955,0.5262,0.5215865749916174,217.1219390629999
9,0.0003,1.9515043689727782,0.75655,0.7561484365599002,2.820124234008789,0.5264,0.5223562911621277,213.19850300100006
10,0.0003,1.8527649660110475,0.78765,0.7874228079807413,2.7347009162902833,0.5546,0.5458553619341495,213.6945370389999
11,0.0003,1.7763413347244263,0.81495,0.8146156519655438,2.7681735942840575,0.5468,0.5435689633459406,215.97682727400024
12,0.0003,1.7142142997741698,0.8335,0.8334851101266384,2.7862168029785157,0.5482,0.54261181956293,212.8966828460002
