epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,epoch_seconds
1,0.0003,4.766168517303467,0.1919,0.1853354320839637,3.112360262298584,0.4664,0.43523477744480865,251.3380330079999
2,0.0003,2.908622338104248,0.5085,0.4969787109159509,2.4925367738723754,0.6022,0.5910561973223355,221.7045797539995
3,0.0003,2.368797629547119,0.6415,0.6374562681998925,2.310884368133545,0.6412,0.6311268869579446,222.8824411129999
4,0.0003,2.0805281551361086,0.721,0.719478230812806,2.2104539920806885,0.6656,0.6595221777757361,221.73770973799947
5,0.0003,1.9056454898834227,0.7647,0.7637291367506134,2.1647179721832277,0.6918,0.6848522882897943,221.2152027029997
6,0.0003,1.7617492479324341,0.8109,0.810353715773011,2.122690497589111,0.7002,0.6959237842957271,222.73439104799945
7,0.0003,1.6513160427093505,0.84575,0.8457670515089654,2.1108905912399294,0.7066,0.700557341357748,218.691860207
8,0.0003,1.5698844123840332,0.87405,0.8738286656440559,2.0901949289321897,0.7078,0.7032450414835909,233.20715154199934
9,0.0003,1.5007916328430175,0.89125,0.8912102277415086,2.1073303733825686,0.7038,0.7000332424199983,247.31200698099929
10,0.0003,1.4436020793914794,0.91285,0.9128476716151512,2.0800235857009888,0.711,0.7082237087145122,248.53938493900023
11,0.0003,1.3997457967758178,0.9244,0.9244174252685706,2.1017296863555908,0.7118,0.7069678230462147,255.5245685209993
12,0.0003,1.3698047475814819,0.9344,0.9343876357210683,2.0981802013397215,0.713,0.7085023502568357,248.4574496639998
