class_id,class_name,test_images,correct,recall
160,160,10,1,0.1
187,187,10,1,0.1
370,370,10,1,0.1
383,383,10,1,0.1
395,395,10,1,0.1
402,402,10,1,0.1
7,7,10,2,0.2
162,162,10,2,0.2
225,225,10,2,0.2
241,241,10,2,0.2
339,339,10,2,0.2
345,345,10,2,0.2
398,398,10,2,0.2
410,410,10,2,0.2
440,440,10,2,0.2
489,489,10,2,0.2
145,145,10,3,0.3
161,161,10,3,0.3
178,178,10,3,0.3
182,182,10,3,0.3
216,216,10,3,0.3
230,230,10,3,0.3
284,284,10,3,0.3
303,303,10,3,0.3
405,405,10,3,0.3
467,467,10,3,0.3
469,469,10,3,0.3
91,91,10,4,0.4
146,146,10,4,0.4
173,173,10,4,0.4
179,179,10,4,0.4
191,191,10,4,0.4
198,198,10,4,0.4
203,203,10,4,0.4
212,212,10,4,0.4
222,222,10,4,0.4
223,223,10,4,0.4
247,247,10,4,0.4
292,292,10,4,0.4
312,312,10,4,0.4
323,323,10,4,0.4
351,351,10,4,0.4
362,362,10,4,0.4
385,385,10,4,0.4
403,403,10,4,0.4
407,407,10,4,0.4
408,408,10,4,0.4
430,430,10,4,0.4
433,433,10,4,0.4
441,441,10,4,0.4
447,447,10,4,0.4
459,459,10,4,0.4
468,468,10,4,0.4
477,477,10,4,0.4
0,0,10,5,0.5
31,31,10,5,0.5
34,34,10,5,0.5
109,109,10,5,0.5
113,113,10,5,0.5
117,117,10,5,0.5
126,126,10,5,0.5
176,176,10,5,0.5
177,177,10,5,0.5
181,181,10,5,0.5
186,186,10,5,0.5
193,193,10,5,0.5
195,195,10,5,0.5
202,202,10,5,0.5
204,204,10,5,0.5
207,207,10,5,0.5
208,208,10,5,0.5
214,214,10,5,0.5
215,215,10,5,0.5
236,236,10,5,0.5
237,237,10,5,0.5
283,283,10,5,0.5
290,290,10,5,0.5
307,307,10,5,0.5
317,317,10,5,0.5
320,320,10,5,0.5
324,324,10,5,0.5
328,328,10,5,0.5
340,340,10,5,0.5
352,352,10,5,0.5
354,354,10,5,0.5
381,381,10,5,0.5
387,387,10,5,0.5
392,392,10,5,0.5
393,393,10,5,0.5
406,406,10,5,0.5
414,414,10,5,0.5
424,424,10,5,0.5
439,439,10,5,0.5
451,451,10,5,0.5
466,466,10,5,0.5
491,491,10,5,0.5
497,497,10,5,0.5
1,1,10,6,0.6
6,6,10,6,0.6
17,17,10,6,0.6
19,19,10,6,0.6
20,20,10,6,0.6
21,21,10,6,0.6
22,22,10,6,0.6
27,27,10,6,0.6
30,30,10,6,0.6
32,32,10,6,0.6
35,35,10,6,0.6
51,51,10,6,0.6
71,71,10,6,0.6
75,75,10,6,0.6
82,82,10,6,0.6
102,102,10,6,0.6
107,107,10,6,0.6
129,129,10,6,0.6
137,137,10,6,0.6
141,141,10,6,0.6
142,142,10,6,0.6
143,143,10,6,0.6
149,149,10,6,0.6
153,153,10,6,0.6
155,155,10,6,0.6
159,159,10,6,0.6
163,163,10,6,0.6
166,166,10,6,0.6
170,170,10,6,0.6
171,171,10,6,0.6
172,172,10,6,0.6
175,175,10,6,0.6
188,188,10,6,0.6
192,192,10,6,0.6
199,199,10,6,0.6
200,200,10,6,0.6
209,209,10,6,0.6
210,210,10,6,0.6
211,211,10,6,0.6
219,219,10,6,0.6
233,233,10,6,0.6
234,234,10,6,0.6
240,240,10,6,0.6
244,244,10,6,0.6
248,248,10,6,0.6
252,252,10,6,0.6
261,261,10,6,0.6
281,281,10,6,0.6
306,306,10,6,0.6
314,314,10,6,0.6
326,326,10,6,0.6
349,349,10,6,0.6
353,353,10,6,0.6
368,368,10,6,0.6
372,372,10,6,0.6
375,375,10,6,0.6
404,404,10,6,0.6
417,417,10,6,0.6
423,423,10,6,0.6
436,436,10,6,0.6
437,437,10,6,0.6
449,449,10,6,0.6
456,456,10,6,0.6
457,457,10,6,0.6
464,464,10,6,0.6
472,472,10,6,0.6
485,485,10,6,0.6
492,492,10,6,0.6
496,496,10,6,0.6
5,5,10,7,0.7
13,13,10,7,0.7
15,15,10,7,0.7
39,39,10,7,0.7
40,40,10,7,0.7
43,43,10,7,0.7
48,48,10,7,0.7
49,49,10,7,0.7
67,67,10,7,0.7
78,78,10,7,0.7
79,79,10,7,0.7
87,87,10,7,0.7
95,95,10,7,0.7
108,108,10,7,0.7
124,124,10,7,0.7
125,125,10,7,0.7
133,133,10,7,0.7
139,139,10,7,0.7
150,150,10,7,0.7
151,151,10,7,0.7
169,169,10,7,0.7
180,180,10,7,0.7
183,183,10,7,0.7
185,185,10,7,0.7
197,197,10,7,0.7
205,205,10,7,0.7
213,213,10,7,0.7
217,217,10,7,0.7
226,226,10,7,0.7
235,235,10,7,0.7
238,238,10,7,0.7
239,239,10,7,0.7
242,242,10,7,0.7
243,243,10,7,0.7
257,257,10,7,0.7
264,264,10,7,0.7
268,268,10,7,0.7
272,272,10,7,0.7
288,288,10,7,0.7
313,313,10,7,0.7
325,325,10,7,0.7
332,332,10,7,0.7
333,333,10,7,0.7
336,336,10,7,0.7
342,342,10,7,0.7
344,344,10,7,0.7
348,348,10,7,0.7
365,365,10,7,0.7
366,366,10,7,0.7
367,367,10,7,0.7
377,377,10,7,0.7
378,378,10,7,0.7
380,380,10,7,0.7
388,388,10,7,0.7
390,390,10,7,0.7
394,394,10,7,0.7
413,413,10,7,0.7
418,418,10,7,0.7
421,421,10,7,0.7
425,425,10,7,0.7
426,426,10,7,0.7
428,428,10,7,0.7
432,432,10,7,0.7
438,438,10,7,0.7
443,443,10,7,0.7
448,448,10,7,0.7
454,454,10,7,0.7
458,458,10,7,0.7
460,460,10,7,0.7
461,461,10,7,0.7
465,465,10,7,0.7
470,470,10,7,0.7
474,474,10,7,0.7
479,479,10,7,0.7
484,484,10,7,0.7
486,486,10,7,0.7
488,488,10,7,0.7
490,490,10,7,0.7
494,494,10,7,0.7
495,495,10,7,0.7
2,2,10,8,0.8
3,3,10,8,0.8
8,8,10,8,0.8
9,9,10,8,0.8
16,16,10,8,0.8
26,26,10,8,0.8
37,37,10,8,0.8
38,38,10,8,0.8
52,52,10,8,0.8
53,53,10,8,0.8
65,65,10,8,0.8
70,70,10,8,0.8
72,72,10,8,0.8
77,77,10,8,0.8
93,93,10,8,0.8
94,94,10,8,0.8
98,98,10,8,0.8
99,99,10,8,0.8
103,103,10,8,0.8
105,105,10,8,0.8
106,106,10,8,0.8
110,110,10,8,0.8
116,116,10,8,0.8
118,118,10,8,0.8
121,121,10,8,0.8
123,123,10,8,0.8
135,135,10,8,0.8
138,138,10,8,0.8
147,147,10,8,0.8
148,148,10,8,0.8
154,154,10,8,0.8
157,157,10,8,0.8
158,158,10,8,0.8
174,174,10,8,0.8
184,184,10,8,0.8
190,190,10,8,0.8
196,196,10,8,0.8
201,201,10,8,0.8
206,206,10,8,0.8
221,221,10,8,0.8
224,224,10,8,0.8
227,227,10,8,0.8
245,245,10,8,0.8
251,251,10,8,0.8
254,254,10,8,0.8
258,258,10,8,0.8
263,263,10,8,0.8
265,265,10,8,0.8
266,266,10,8,0.8
277,277,10,8,0.8
278,278,10,8,0.8
280,280,10,8,0.8
287,287,10,8,0.8
291,291,10,8,0.8
297,297,10,8,0.8
302,302,10,8,0.8
304,304,10,8,0.8
308,308,10,8,0.8
311,311,10,8,0.8
316,316,10,8,0.8
318,318,10,8,0.8
319,319,10,8,0.8
329,329,10,8,0.8
335,335,10,8,0.8
338,338,10,8,0.8
341,341,10,8,0.8
346,346,10,8,0.8
355,355,10,8,0.8
356,356,10,8,0.8
358,358,10,8,0.8
364,364,10,8,0.8
371,371,10,8,0.8
373,373,10,8,0.8
374,374,10,8,0.8
376,376,10,8,0.8
396,396,10,8,0.8
