true_class_id,true_class,predicted_class_id,predicted_class,count
345,345,346,346,6
410,410,409,409,6
117,117,118,118,5
162,162,163,163,5
225,225,223,223,4
372,372,279,279,4
393,393,403,403,4
40,40,39,39,3
109,109,98,98,3
146,146,147,147,3
160,160,161,161,3
160,160,163,163,3
161,161,162,162,3
179,179,204,204,3
187,187,186,186,3
199,199,186,186,3
209,209,208,208,3
216,216,150,150,3
236,236,241,241,3
241,241,245,245,3
241,241,236,236,3
290,290,295,295,3
408,408,353,353,3
497,497,499,499,3
0,0,1,1,2
5,5,6,6,2
6,6,5,5,2
7,7,274,274,2
13,13,12,12,2
19,19,10,10,2
20,20,18,18,2
22,22,23,23,2
27,27,17,17,2
43,43,83,83,2
48,48,61,61,2
75,75,76,76,2
75,75,77,77,2
118,118,117,117,2
124,124,113,113,2
125,125,44,44,2
129,129,128,128,2
133,133,134,134,2
149,149,161,161,2
154,154,153,153,2
155,155,156,156,2
160,160,162,162,2
161,161,160,160,2
163,163,160,160,2
170,170,190,190,2
176,176,201,201,2
